id,name,artists,type
5k38wzpLb15YgncyWdTZE,Him & I (with Halsey),G-Eazy,Disgust
32lItqlMi4LBhb4k0BaSa,Candy Paint,Post Malone,Disgust
3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,Disgust
4QtiVmuA88tPQiCOHZuQ5,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,Disgust
6Za3190Sbw39BBC77WSS1,Criminal,Natti Natasha,Disgust
1ZAyjvIk9YiD76yYy0TEG,Plug Walk,Rich The Kid,Disgust
0u2P5u6lvoDfwTYjAADbn,lovely (with Khalid),Billie Eilish,Disgust
2UVbBKQOdFAekPTRsnkzc,Stir Fry,Migos,Disgust
7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,Disgust
48zFZh27QU5qsrBjn4C2F,Vaina Loca,Ozuna,Disgust
1bhUWB0zJMIKr9yVPrkEu,Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,Disgust
5cepAtqnEQ6yVG6088zMM,Coraz?n (feat. Nego do Borel),Maluma,Disgust
5Z3GHaZ6ec9bsiI5Benrb,Young Dumb & Broke,Khalid,Disgust
5Y9fnynLlIvqtM710MHzf,S?guelo Bailando,Ozuna,Disgust
3Ga6eKrUFf12ouh9Yw3v2,Downtown,Anitta,Disgust
3xcCix7Jv1Rp90YVmgo35,Bella,Wolfine,Disgust
5N5k9nd479b1xpDZ4usjr,Promises (with Sam Smith),Calvin Harris,Joy
6vN77lE9LK6HP2DewaN6H,Yes Indeed,Lil Baby,Joy
2P91MQbaiQOfbiz9VqhqK,I Like Me Better,Lauv,Joy
2xGjteMU3E1tkEPVFBO08,This Is Me,Keala Settle,Joy
3GVkPk8mqxz0itaAriG1L,Everybody Dies In Their Nightmares,XXXTENTACION,Joy
630sXRhIcfwr2e4RdNtjK,Rewrite The Stars,Zac Efron,Joy
2xmrfQpmS2iJExTlklLoA,I Miss You (feat. Julia Michaels),Clean Bandit,Joy
5WvAo7DNuPRmk4APhdPzi,No Brainer,DJ Khaled,Joy
1j4kHkkpqZRBwE0A4CN4Y,Dusk Till Dawn - Radio Edit,ZAYN,Joy
3EPXxR3ImUwfayaurPi3c,Be Alright,Dean Lewis,Joy
